1	abraham	add_place	right
1237	abraham	norm	ⲕⲁⲧⲁ
1238	abraham	norm	ⲛⲉ
1239	abraham	norm	ⲅⲣⲁⲫⲏ
1240	abraham	norm	·
1241	abraham	norm	ⲁⲩⲱ
1242	abraham	norm	ⲛ
1243	abraham	norm	ⲧ
1244	abraham	norm	ϩⲉ
1245	abraham	norm	ⲟⲛ
1246	abraham	norm	ⲛⲧ
1247	abraham	norm	ⲁ
1248	abraham	norm	ⲩ
1249	abraham	norm	ϫⲱⲕ
1250	abraham	norm	ⲉⲃⲟⲗ
1251	abraham	norm	ⲛ
1252	abraham	norm	ⲛⲉ
1253	abraham	norm	ⲛⲧ
1254	abraham	norm	ⲁ
1255	abraham	norm	ϥ
1256	abraham	norm	ⲟⲩⲉϩ
1257	abraham	norm	ⲥⲁϩⲛⲉ
1258	abraham	norm	ⲙⲙⲟ
1259	abraham	norm	ⲟⲩ
1260	abraham	norm	ⲛⲁ
1261	abraham	norm	ⲩ
1262	abraham	norm	ϫⲓⲛ
1263	abraham	norm	ⲛ
1264	abraham	norm	ϣⲟⲣⲡ
1265	abraham	norm	ⲉ
1266	abraham	norm	ϥ
1267	abraham	norm	ϣⲟⲟⲡ
1268	abraham	norm	ⲛⲙⲙⲁ
1269	abraham	norm	ⲩ
1270	abraham	norm	ⲛϭⲓ
1271	abraham	norm	ⲡ
1272	abraham	norm	ϫⲟⲉⲓⲥ
1273	abraham	norm	ⲙ
1274	abraham	norm	ⲡ
1275	abraham	norm	ⲉⲟⲟⲩ
1276	abraham	norm	ⲓⲏⲥⲟⲩⲥ
1277	abraham	norm	:
1278	abraham	norm	ⲉⲧⲃⲉ
1279	abraham	norm	ⲡⲁⲓ
1280	abraham	norm	ⲡⲉϫⲁ
1281	abraham	norm	ϥ
1282	abraham	norm	ⲛⲁ
1283	abraham	norm	ⲩ
1284	abraham	norm	ϫⲉ
1285	abraham	norm	ⲛ
1286	abraham	norm	ϯ
1287	abraham	norm	ⲛⲁ
1288	abraham	norm	ⲙⲟⲩⲧⲉ
1289	abraham	norm	ϭⲉ
1290	abraham	norm	ⲁⲛ
1291	abraham	norm	ⲉⲣⲱ
1292	abraham	norm	ⲧⲛ
1293	abraham	norm	ϫⲉ
1294	abraham	norm	ⲛⲁ
1295	abraham	norm	ϩⲙ
1296	abraham	norm	ϩⲁϩ
1297	abraham	norm	ϫⲉ
1298	abraham	norm	ⲙ
1299	abraham	norm	ⲡ
1300	abraham	norm	ϩⲙϩⲁⲗ
1301	abraham	norm	ⲥⲟⲟⲩⲛ
1302	abraham	norm	ⲁⲛ
1303	abraham	norm	ϫⲉ
1304	abraham	norm	ⲟⲩ
1305	abraham	norm	ⲡ
1306	abraham	norm	ⲉⲧⲉⲣⲉ
1307	abraham	norm	ⲡⲉ
1308	abraham	norm	ϥ
1309	abraham	norm	ϫⲟⲉⲓⲥ
1310	abraham	norm	ⲉⲓⲣⲉ
1311	abraham	norm	ⲙⲙⲟ
1312	abraham	norm	ϥ
1313	abraham	norm	·
1314	abraham	norm	ⲁⲗⲗⲁ
1315	abraham	norm	ⲉ
1316	abraham	norm	ⲓ
1317	abraham	norm	ⲛⲁ
1318	abraham	norm	ⲙⲟⲩⲧⲉ
1319	abraham	norm	ⲉⲣⲱ
1320	abraham	norm	ⲧⲛ
1321	abraham	norm	ϫⲉ
1322	abraham	norm	ⲛⲁ
1323	abraham	norm	ⲥⲛⲏⲩ
1324	abraham	norm	ⲁⲩⲱ
1325	abraham	norm	ⲛⲁ
1326	abraham	norm	ϣⲃⲉⲉⲣ
1327	abraham	norm	·
1328	abraham	norm	ϫⲉ
1329	abraham	norm	ⲛ
1330	abraham	norm	ⲉ
1331	abraham	norm	ⲛⲧ
1332	abraham	norm	ⲁ
1333	abraham	norm	ⲓ
1334	abraham	norm	ⲥⲟⲧⲙ
1335	abraham	norm	ⲟⲩ
1336	abraham	norm	ⲧⲏⲣ
1337	abraham	norm	ⲟⲩ
1338	abraham	norm	ⲛⲧⲉ
1339	abraham	norm	ⲡⲁ
1340	abraham	norm	ⲉⲓⲱⲧ
1341	abraham	norm	ⲁ
1342	abraham	norm	ⲓ
1343	abraham	norm	ⲧⲁⲙⲱ
1344	abraham	norm	ⲧⲛ
1345	abraham	norm	ⲉⲣⲟ
1346	abraham	norm	ⲟⲩ
1347	abraham	norm	·
1348	abraham	norm	ⲛⲧⲱⲧⲛ
1349	abraham	norm	ⲁⲛ
1350	abraham	norm	ⲡⲉϫⲁ
1351	abraham	norm	ϥ
1352	abraham	norm	ⲁ
1353	abraham	norm	ⲧⲉⲧⲛ
1354	abraham	norm	ⲥⲟⲧⲡ
1355	abraham	norm	ⲧ
1356	abraham	norm	·
1357	abraham	norm	ⲁⲗⲗⲁ
1358	abraham	norm	ⲁⲛⲟⲕ
1359	abraham	norm	ⲁ
1360	abraham	norm	ⲓ
1361	abraham	norm	ⲥⲉⲧⲡ
1362	abraham	norm	ⲧⲏⲩⲧⲛ
1363	abraham	norm	·
1364	abraham	norm	ⲁⲩⲱ
1365	abraham	norm	ϯ
1366	abraham	norm	ϫⲟⲟ
1367	abraham	norm	ⲩ
1368	abraham	norm	ⲙⲙⲱ
1369	abraham	norm	ⲧⲛ
1370	abraham	norm	ⲛ
1371	abraham	norm	ⲧ
1372	abraham	norm	ϩⲉ
1373	abraham	norm	ⲛ
1374	abraham	norm	ϩⲉⲛ
1375	abraham	norm	ⲉⲥⲟⲟⲩ
1376	abraham	norm	ⲛ
1377	abraham	norm	ⲧ
1378	abraham	norm	ⲙⲏⲧⲉ
1379	abraham	norm	ⲛ
1380	abraham	norm	ϩⲉⲛ
1381	abraham	norm	ⲟⲩⲱⲛϣ
1382	abraham	norm	:
1383	abraham	norm	ⲙⲡⲣ
1384	abraham	norm	ⲣ
1385	abraham	norm	ϩⲟⲧⲉ
1386	abraham	norm	ϩⲏⲧ
1387	abraham	norm	ⲟⲩ
1388	abraham	norm	ⲛ
1389	abraham	norm	ⲛⲉⲧ
1390	abraham	norm	ⲛⲁ
1391	abraham	norm	ⲙⲟⲩⲟⲩⲧ
1392	abraham	norm	ⲙ
1393	abraham	norm	ⲡⲉⲧⲛ
1394	abraham	norm	ⲥⲱⲙⲁ
1395	abraham	norm	·
1396	abraham	norm	ⲉϣϫⲉ
1397	abraham	norm	ⲁ
1398	abraham	norm	ⲩ
1399	abraham	norm	ⲡⲱⲧ
1400	abraham	norm	ⲛ
1401	abraham	norm	ⲥⲱ
1402	abraham	norm	ⲓ
