0	NULL	annotation	Caroline Schroeder, Amir Zeldes
96	NULL	cname	Acts of the Apostles 3
96	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:3
96	NULL	metadata	Caroline T. Schroeder
96	NULL	version_date	16 April 2015
96	NULL	version_n	1.0.1
97	NULL	book	Acts of the Apostles
97	NULL	chapter	4
97	NULL	cid	44N 4
97	NULL	cname	Acts of the Apostles 4
97	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:4
97	NULL	metadata	Caroline T. Schroeder
97	NULL	version_date	16 April 2015
97	NULL	version_n	1.0.1
98	NULL	book	Acts of the Apostles
98	NULL	chapter	5
98	NULL	cid	44N 5
98	NULL	cname	Acts of the Apostles 5
98	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:5
98	NULL	metadata	Caroline T. Schroeder
98	NULL	version_date	16 April 2015
98	NULL	version_n	1.0.1
99	NULL	book	Acts of the Apostles
99	NULL	chapter	6
99	NULL	cid	44N 6
99	NULL	cname	Acts of the Apostles 6
99	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:6
99	NULL	metadata	Caroline T. Schroeder
99	NULL	version_date	16 April 2015
99	NULL	version_n	1.0.1
100	NULL	book	Acts of the Apostles
100	NULL	chapter	7
100	NULL	cid	44N 7
100	NULL	cname	Acts of the Apostles 7
100	NULL	document_cts_urn	urn:cts:copticLit:nt.acts.sahidica:7
100	NULL	metadata	Caroline T. Schroeder
100	NULL	version_date	16 April 2015
100	NULL	version_n	1.0.1
